Business Name,Input Phone,API Name,API Phone,API Address,Name Match,Address Match,Phone Match,SAB?,Match Status
,,Nan's Skin,093614 50558,"Sudharma Apartment, E-13, 1st St, A K Swamy Nagar, Kilpauk, Chennai, Tamil Nadu 600010, India",Yes,No,Yes,No,
,,Nan's Skin,093614 50558,"Sudharma Apartment, E-13, 1st St, A K Swamy Nagar, Kilpauk, Chennai, Tamil Nadu 600010, India",Yes,No,Yes,No,
,,Nan's Skin,093614 50558,"Sudharma Apartment, E-13, 1st St, A K Swamy Nagar, Kilpauk, Chennai, Tamil Nadu 600010, India",Yes,No,Yes,No,
,,Nan's Skin,093614 50558,"Sudharma Apartment, E-13, 1st St, A K Swamy Nagar, Kilpauk, Chennai, Tamil Nadu 600010, India",Yes,No,Yes,No,
,,Nan's Skin,093614 50558,"Sudharma Apartment, E-13, 1st St, A K Swamy Nagar, Kilpauk, Chennai, Tamil Nadu 600010, India",Yes,No,Yes,No,
,,Nan's Skin,093614 50558,"Sudharma Apartment, E-13, 1st St, A K Swamy Nagar, Kilpauk, Chennai, Tamil Nadu 600010, India",Yes,No,Yes,No,
,,Nan's Skin,093614 50558,"Sudharma Apartment, E-13, 1st St, A K Swamy Nagar, Kilpauk, Chennai, Tamil Nadu 600010, India",Yes,No,Yes,No,
,,Nan's Skin,093614 50558,"Sudharma Apartment, E-13, 1st St, A K Swamy Nagar, Kilpauk, Chennai, Tamil Nadu 600010, India",Yes,No,Yes,No,
,,501 Allwood Rd,,"501 Allwood Rd, Clifton, NJ 07012, USA",Yes,Yes,Yes,No,
,,415 Wall St,,"415 Wall St, Elmira, NY 14905, USA",Yes,Yes,Yes,No,
,,85 Raritan Ave Suite 430,,"85 Raritan Ave Suite 430, Highland Park, NJ 08904, USA",Yes,Yes,Yes,No,
,,340 E Northfield Rd Suite 2E,,"340 E Northfield Rd Suite 2E, Livingston, NJ 07039, USA",Yes,No,Yes,No,
,,16 Leigh St,,"16 Leigh St, West End QLD 4810, Australia",Yes,Yes,Yes,No,
